Opened	Name	City	Market
8/23/2021	Monroe & Bloomington	Lowell	Arkansas
8/22/2021	Westpark Tollway & Mason Rd	Richmond	Texas\Houston
8/21/2021	126th and Park Ave	Riverton	Utah
8/20/2021	Trailwinds & CR 466A	Wildwood	Florida\FloridaRemoteMarkets
8/20/2021	Forest Drive & Providence St	Columbia	SouthCarolina\Columbia
8/20/2021	Ken Caryl and Simms	Littleton	Colorado\Denver
8/20/2021	Old Jacksonville Road and Grande	Tyler	Texas\RemoteMarkets
8/19/2021	Cave Creek & Deer Valley	Phoenix	Arizona\Phoenix
8/19/2021	96 King St East	Bowmanville	Ontario\GreaterTorontoArea
8/19/2021	Highland & Valencia	San Bernardino	California\SanBernardinoCounty
8/19/2021	Pacific & Maple	Stockton	California\ModestoStockton
8/16/2021	US Hwy 27 & Jefferson Dr	Somerset	Kentucky\KentuckyRemoteMarkets
8/16/2021	2819 JFK Blvd.	North Bergen	NewJersey
8/16/2021	Oaklawn Rd. & Jr. Blvd.	Pleasanton	Texas\RemoteMarkets
8/14/2021	Coit & Main	Frisco	Texas\DallasFortWorth
8/14/2021	I-5 & Mill Plain Blvd	Vancouver	Washington\SouthwesternWashington
8/13/2021	Framingham, Rte 9	Framingham	Massachusetts\Boston
8/13/2021	174 & Joshua Station	Joshua	Texas\RemoteMarkets
8/13/2021	Landstar & Arbor Meadows	Orlando	Florida\Orlando
8/12/2021	Guerneville & Fulton	Santa Rosa	California\SonomaCounty
8/11/2021	Estrella and Roosevelt	Goodyear	Arizona\Phoenix
8/11/2021	I-10 & Litchfield	Goodyear	Arizona\Phoenix
8/6/2021	Village at Gap, Lincoln Hwy	Gap	Pennsylvania\PennsylvaniaRemoteMarkets
8/6/2021	Brighton, Monroe & Clover	Rochester	NewYork\Rochester
8/6/2021	Blanding Blvd & Baxley Rd	Middleburg	Florida\FloridaRemoteMarkets
8/6/2021	Orangethorpe & Moody, La Palma	La Palma	California\OrangeCounty
8/5/2021	Dixie Hwy & Eckel Junction Rd	Perrysburg	Ohio\Toledo
8/5/2021	3rd & Lafayette	Bend	Oregon\CentralOregon
8/5/2021	I-64 & Laburnum, White Oak Village	Richmond	Virginia\Richmond
8/2/2021	Hillsboro and Del Rio	Franklin	Tennessee\Nashville
7/30/2021	Veterans and 32nd	Fargo	NorthDakota
7/30/2021	Denton - Shore Highway	Denton	Maryland\EasternMaryland
7/30/2021	56th St & Bullard Pkwy	Temple Terrace	Florida\Tampa
7/30/2021	8th & Main	Corona	California\RiversideCounty
7/30/2021	Hwy 278 & Pace	Covington	Georgia\GeorgiaRemoteMarkets
7/30/2021	Prospect and Sanders	Helena	Montana
7/30/2021	Hwy 25 & Little Texas Rd	Travelers Rest	SouthCarolina\Greenville
7/27/2021	4th & D - Santa Rosa	Santa Rosa	California\SonomaCounty
7/27/2021	Pickup- 13th & University	New York	NewYork\NewYorkCity
7/26/2021	Hamilton Quarter Shopping Center	Westerville	Ohio\Columbus
7/26/2021	1st & Destination Drive - Grimes	Grimes	Iowa
